,theolscale,goodevil,endtimes2,cabal,paranormscale,ednumeric,female,black,hispanic,libdum,consdum,demdum,gopdum,polintnum,psc,trustind1,inteff,exteffic,RWA,imprelnum
228,3,3,2,2,3,5,0,0,0,0,1,0,1,4,0.959251824,2,4.5,4,0.5,4
229,3,4,3,4,2.5,5,1,0,0,0,1,0,1,3,-0.776561777,2,3,4,1,4
230,3,4,3,3,4,2,1,0,0,0,0,0,0,1,-1.448749007,1,2,3.5,1,4
231,3,2,2,2,3,6,0,0,0,0,1,0,0,1,0.519820881,2,3.5,4,1,4
232,2.5,3,2,3,2,5,0,0,0,0,1,0,1,4,0.287064593,1,4,2,0.5,3
233,3,2,2,1,4.5,3,0,0,0,1,0,1,0,4,1.009980482,2,5,5,0,4
234,3,2,1.5,2,3.5,5,0,1,0,1,0,1,0,4,0.469092223,2,5,2.5,0.5,3
235,2,4,2,2,3,2,1,0,0,0,1,0,1,2,-0.702566383,2,3,2,1,3
236,3,4,1.5,5,4.5,2,1,0,0,0,0,0,0,2,-0.450302158,1,2.5,1,1,3
237,2.5,4,1.5,2,3.5,2,1,0,0,1,0,1,0,4,0.504675012,1,2.5,3.5,0.5,3
238,2,5,1.5,5,5,5,1,0,0,1,0,1,0,3,0.061167343,2,1,1,1,4
239,3,4,2.5,4,4,2,1,0,0,0,0,1,0,4,0.566472814,1,3.5,3,1,4
240,3,5,3,5,5,2,1,1,0,0,1,1,0,1,-1.275132224,1,3,1,1,4
241,3,3,3,4,1.5,2,1,0,0,0,1,0,1,4,-0.362387728,1,5,3,1,4
242,3,3,2.5,4,4.5,2,0,0,0,0,1,0,1,3,-0.458350537,2,2.5,1,1,3
243,2,2,1.5,2,2.5,6,0,0,0,0,1,0,1,4,1.091198807,1,5,1.5,0.5,2
244,3,4,1.5,5,3.5,3,1,0,0,1,0,1,0,4,0.81255808,2,1.5,2,0.5,4
245,3,4,2,4,2,2,1,0,0,0,0,1,0,2,-0.629868033,1,2,2.5,0.5,4
246,2.5,2,2.5,4,2.5,2,0,0,0,0,1,1,0,4,0.678291795,2,2.5,3.5,0,4
247,3,5,2,5,3,4,1,0,0,0,1,0,1,4,0.863286739,1,3.5,2,1,4
248,3,4,2.5,3,4,2,1,1,0,0,0,0,0,NA,-1.861656019,1,3,4,1,4
249,2.5,4,2,5,4,2,1,0,0,0,1,0,1,4,0.287832087,1,5,2.5,0.5,4
250,3,4,2.5,3,1,4,1,1,0,0,0,1,0,4,-0.167512219,1,3,2,1,4
251,1,3,2,3,3,2,1,0,0,0,0,0,0,3,-1.861656019,1,3,3,0.5,1
252,2,1,2,4,3.5,2,1,0,0,1,0,1,0,3,0.711748775,2,3,1,0,3
253,1,1,1.5,4,1,5,1,0,0,1,0,1,0,2,-0.973336167,2,2.5,3,0,3
254,1,1,1,3,1,6,1,0,0,1,0,1,0,3,0.287832087,2,2,4.5,0,1
255,2.5,4,2,2,1.5,5,0,0,0,0,0,0,1,4,1.040470149,2,4.5,2.5,0.5,3
256,3,2,3,5,1,6,1,1,0,0,0,1,0,3,0.566472814,1,3,2.5,1,4
257,3,4,1,4,3,2,1,0,0,0,1,0,1,4,-0.49792105,2,3,2,0.5,4
258,3,5,2,5,4.5,2,1,0,0,1,0,0,0,2,-1.664233617,1,2,1,1,2
259,3,5,2.5,5,5,2,1,0,0,1,0,1,0,4,1.040470149,1,4.5,1,0.5,4
260,3,4,2.5,4,4.5,4,0,0,0,0,1,0,1,3,-0.37384501,2,4,1,1,4
261,2,3,1.5,3,2.5,4,0,1,0,0,1,0,1,4,0.833481523,2,5,4,0.5,2
262,3,5,1,5,4.5,2,0,0,0,0,0,1,0,4,-0.348772354,1,2.5,1.5,1,4
263,3,3,1,4,2.5,6,0,0,0,0,0,1,0,3,0.70153454,2,3.5,2,1,4
264,1,2,1,1,1,5,0,0,0,0,0,0,1,4,-0.797262155,2,2,1,0,1
265,3,4,3,4,3.5,2,1,0,0,0,1,0,1,3,-1.024064825,2,3,3,0.5,4
266,3,3,2,4,4,2,1,0,0,0,1,0,1,1,-1.302055264,1,2,2,0.5,4
